CompanyIN;LegalFormID;LegalFormName;EmployeeLowerBound;ActivityScore;NaceCode;Nace;NaceSectionCode;NaceSection
25545485;112;Společnost s r.o.;100;96;62010;[62010] Programování;J;[J] Informační a komunikační činnosti
25600401;112;Společnost s r.o.;NULL;40;10710;[10710] Výroba pekařských a cukrářských výrobků, kromě trvanlivých;C;[C] Zpracovatelský průmysl
25601598;121;Akciová společnost;50;89;71129;[71129] Ost. inženýrské činnosti, souv. technické poradenství j. n.;M;[M] Profesní, vědecké a technické činnosti
25606735;111;Veřejná obch.společnost;NULL;63;68202;[68202] Pronájem vlastních, pronajat.nemovitostí s nebyt. prostory;L;[L] Činnosti v oblasti nemovitostí
25617842;112;Společnost s r.o.;NULL;0;59200;[59200] Pořizování zvukových nahrávek, hudební vydavatelské činnosti;J;[J] Informační a komunikační činnosti
25620525;121;Akciová společnost;NULL;5;68310;[68310] Zprostředkovatelské činnosti realitních agentur;L;[L] Činnosti v oblasti nemovitostí
25620525;121;Akciová společnost;NULL;5;68310;[68310] Zprostředkovatelské činnosti realitních agentur;L;[L] Činnosti v oblasti nemovitostí
25631217;112;Společnost s r.o.;1;82;46900;[46900] Nespecializovaný velkoobchod;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
25645382;112;Společnost s r.o.;10;58;80100;[80100] Činnosti soukromých bezpečnostních agentur;N;[N] Administrativní a podpůrné činnosti
25649001;112;Společnost s r.o.;NULL;8;68310;[68310] Zprostředkovatelské činnosti realitních agentur;L;[L] Činnosti v oblasti nemovitostí
25665227;112;Společnost s r.o.;NULL;0;431;[431] Demolice a příprava staveniště;F;[F] Stavebnictví
25672908;121;Akciová společnost;25;99;7112;[7112] Inženýrské činnosti a související technické poradenství;M;[M] Profesní, vědecké a technické činnosti
25673394;121;Akciová společnost;250;96;92000;[92000] Činnosti heren, kasin a sázkových kanceláří;R;[R] Kulturní, zábavní a rekreační činnosti
25673394;121;Akciová společnost;250;96;92000;[92000] Činnosti heren, kasin a sázkových kanceláří;R;[R] Kulturní, zábavní a rekreační činnosti
25673483;112;Společnost s r.o.;NULL;0;6820;[6820] Pronájem a správa vlastních nebo pronajatých nemovitostí;L;[L] Činnosti v oblasti nemovitostí
25684558;121;Akciová společnost;50;85;66120;[66120] Obchodování s cennými papíry a komoditami na burzách;K;[K] Peněžnictví a pojišťovnictví
25687123;112;Společnost s r.o.;NULL;60;46900;[46900] Nespecializovaný velkoobchod;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
25692160;112;Společnost s r.o.;NULL;22;46900;[46900] Nespecializovaný velkoobchod;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
25695011;112;Společnost s r.o.;25;88;71129;[71129] Ost. inženýrské činnosti, souv. technické poradenství j. n.;M;[M] Profesní, vědecké a technické činnosti
25695711;112;Společnost s r.o.;10;28;69200;"[69200] Účetnické a auditorské činnosti; daňové poradenství";M;[M] Profesní, vědecké a technické činnosti
25696572;112;Společnost s r.o.;1;97;46470;[46470] Velkoobchod s nábytkem, koberci a svítidly;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
25700766;112;Společnost s r.o.;1;38;6820;[6820] Pronájem a správa vlastních nebo pronajatých nemovitostí;L;[L] Činnosti v oblasti nemovitostí
25719793;112;Společnost s r.o.;1;68;46900;[46900] Nespecializovaný velkoobchod;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
25731211;112;Společnost s r.o.;1;56;431;[431] Demolice a příprava staveniště;F;[F] Stavebnictví
25733265;112;Společnost s r.o.;NULL;73;46900;[46900] Nespecializovaný velkoobchod;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
25749820;112;Společnost s r.o.;1;78;279;[279] Výroba ostatních elektrických zařízení;C;[C] Zpracovatelský průmysl
25755854;112;Společnost s r.o.;1;40;43290;[43290] Ostatní stavební instalace;F;[F] Stavebnictví
25762427;112;Společnost s r.o.;50;96;49391;[49391] Meziměstská pravidelná pozemní osobní doprava;H;[H] Doprava a skladování
25766864;112;Společnost s r.o.;NULL;22;702;[702] Poradenství v oblasti řízení;M;[M] Profesní, vědecké a technické činnosti
25779800;112;Společnost s r.o.;1;68;431;[431] Demolice a příprava staveniště;F;[F] Stavebnictví
25780204;112;Společnost s r.o.;25;94;46340;[46340] Velkoobchod s nápoji;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
25780697;112;Společnost s r.o.;1;89;46510;[46510] VO s počítači, počítačovým periferním zařízením a softwarem;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
25797123;112;Společnost s r.o.;1;38;66220;[66220] Činnosti zástupců pojišťovny a makléřů;K;[K] Peněžnictví a pojišťovnictví
25797859;112;Společnost s r.o.;1;80;68320;[68320] Správa nemovitostí na základě smlouvy nebo dohody;L;[L] Činnosti v oblasti nemovitostí
