CompanyIN;LegalFormID;LegalFormName;EmployeeLowerBound;ActivityScore;NaceCode;Nace;NaceSectionCode;NaceSection
7135084;112;Společnost s r.o.;NULL;46;6820;[6820] Pronájem a správa vlastních nebo pronajatých nemovitostí;L;[L] Činnosti v oblasti nemovitostí
7146833;112;Společnost s r.o.;10;38;6920;"[6920] Účetnické a auditorské činnosti; daňové poradenství";M;[M] Profesní, vědecké a technické činnosti
7192959;112;Společnost s r.o.;1;55;74;[74] Ostatní profesní, vědecké a technické činnosti;M;[M] Profesní, vědecké a technické činnosti
7195516;112;Společnost s r.o.;NULL;47;46900;[46900] Nespecializovaný velkoobchod;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
7196954;112;Společnost s r.o.;NULL;8;16;[016] Podpůrné činnosti pro zemědělství a posklizňové činnosti;A;[A] Zemědělství, lesnictví, rybářství
7214936;112;Společnost s r.o.;1;22;46900;[46900] Nespecializovaný velkoobchod;G;"[G] Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
7223226;105;Fyz.osoba ost.;0;9;69100;[69100] Právní činnosti;M;[M] Profesní, vědecké a technické činnosti
7273932;112;Společnost s r.o.;6;72;16;[016] Podpůrné činnosti pro zemědělství a posklizňové činnosti;A;[A] Zemědělství, lesnictví, rybářství
7315899;121;Akciová společnost;NULL;28;64300;[64300] Činnosti trustů, fondů a podobných finančních subjektů;K;[K] Peněžnictví a pojišťovnictví
7377835;112;Společnost s r.o.;NULL;47;74;[74] Ostatní profesní, vědecké a technické činnosti;M;[M] Profesní, vědecké a technické činnosti
7381158;121;Akciová společnost;1;22;64921;[64921] Poskytování úvěrů společnostmi, které nepřijímají vklady;K;[K] Peněžnictví a pojišťovnictví
7381328;121;Akciová společnost;1;5;16;[016] Podpůrné činnosti pro zemědělství a posklizňové činnosti;A;[A] Zemědělství, lesnictví, rybářství
7438231;112;Společnost s r.o.;1;22;74;[74] Ostatní profesní, vědecké a technické činnosti;M;[M] Profesní, vědecké a technické činnosti
7463065;112;Společnost s r.o.;1;40;431;[431] Demolice a příprava staveniště;F;[F] Stavebnictví
7483708;105;Fyz.osoba ost.;0;50;69100;[69100] Právní činnosti;M;[M] Profesní, vědecké a technické činnosti
7512601;112;Společnost s r.o.;NULL;50;74;[74] Ostatní profesní, vědecké a technické činnosti;M;[M] Profesní, vědecké a technické činnosti
7534663;161;Ústav;NULL;40;9499;[9499] Činnosti ost. organizací za účelem prosaz. spol.zájmů j. n.;S;[S] Ostatní činnosti
7534914;112;Společnost s r.o.;NULL;40;74;[74] Ostatní profesní, vědecké a technické činnosti;M;[M] Profesní, vědecké a technické činnosti
